ticket_id,customer_id,created_at,resolved_at,channel,category,subcategory,customer_tier,first_response_time_mins,resolution_time_hours,csat_score,ticket_status,ticket_text
TKT-10031,CUS-001465,2026-06-24 04:45:17,2026-06-24 11:39:53,Email,Feature Request,Notification Controls,Free,116,6.91,4,Resolved,"Please add more control over which notifications I receive. The service has been useful overall, so this would be a great addition."
TKT-10032,CUS-001200,2026-06-27 23:12:14,2026-06-28 07:49:26,Social Media,Delivery Delay,Late Delivery,Free,36,8.62,4,Resolved,My order is later than the delivery estimate. Please resolve this as soon as possible.
TKT-10033,CUS-000249,2026-05-31 15:04:47,2026-05-31 20:44:59,In-App Chat,Account Access,Verification Code Missing,Free,9,5.67,4,Closed,The verification code has not arrived yet. Thank you for checking this for me.
TKT-10034,CUS-000885,2026-07-13 22:12:37,2026-07-14 20:24:01,WhatsApp,Delivery Delay,Tracking Not Updated,Free,24,22.19,4,Resolved,The tracking status has not changed for a while. This is disrupting what I need to do.
TKT-10035,CUS-001414,2026-07-21 13:30:47,2026-07-21 19:30:11,In-App Chat,Account Access,Verification Code Missing,Free,25,5.99,3,Resolved,The verification code has not arrived yet. Please let me know what information you need.
TKT-10036,CUS-000349,2026-06-04 04:41:41,2026-06-05 12:32:41,In-App Chat,App Bug,App Crash,Free,17,31.85,2,Closed,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10037,CUS-000884,2026-05-30 20:54:08,2026-06-03 20:14:32,WhatsApp,App Bug,Notification Error,Premium,20,95.34,1,Escalated,The notifications are delayed or showing the wrong information. Please resolve this as soon as possible.
TKT-10038,CUS-001129,2026-07-04 20:41:21,2026-07-05 00:25:45,In-App Chat,Account Access,Password Reset,Free,33,3.74,,Resolved,I need help resetting my password. Could someone advise me on the next step?
TKT-10039,CUS-001067,2026-07-05 01:02:28,2026-07-06 06:52:52,In-App Chat,Billing/Refunds,Incorrect Amount,Free,102,29.84,1,Resolved,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10040,CUS-000193,2026-06-15 19:45:44,2026-06-16 18:19:55,In-App Chat,Feature Request,Dark Mode,Premium,22,22.57,4,Closed,I like the app and would find a dark mode option useful. Thanks for considering the suggestion.
TKT-10041,CUS-000474,2026-08-03 21:17:58,2026-08-05 03:21:34,Email,Delivery Delay,Tracking Not Updated,Enterprise,4,30.06,4,Closed,The tracking status has not changed for a while.
TKT-10042,CUS-000912,2026-06-18 09:57:02,2026-06-23 13:25:14,WhatsApp,App Bug,Page Not Loading,Free,27,123.47,1,Escalated,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10043,CUS-000374,2026-07-07 17:21:34,2026-07-08 02:16:10,In-App Chat,Account Access,Account Locked,Free,20,8.91,4,Resolved,My account is locked and I cannot get back in.
TKT-10044,CUS-000577,2026-06-26 01:01:17,2026-06-26 17:18:40,In-App Chat,Billing/Refunds,Payment Failed,Premium,15,16.29,3,Resolved,My payment keeps failing even though my details are correct. This has been very frustrating.
TKT-10045,CUS-000701,2026-07-24 20:04:16,,Email,Feature Request,Dark Mode,Premium,19,,3,Open,I like the app and would find a dark mode option useful. Everything else is working well for me.
TKT-10046,CUS-000024,2026-07-25 10:23:22,2026-07-26 22:19:46,WhatsApp,Feature Request,Export Data,Free,24,35.94,4,Resolved,Could you add a way to export my account data? Everything else is working well for me.
TKT-10047,CUS-000839,2026-07-15 01:53:56,2026-07-15 18:02:20,In-App Chat,Feature Request,New Payment Option,Free,11,16.14,5,Resolved,"It would be helpful to have another payment option. The service has been useful overall, so this would be a great addition."
TKT-10048,CUS-001646,2026-05-18 06:25:04,,WhatsApp,App Bug,App Crash,Free,23,,1,Open,The app closes every time I try to complete this action. I have already tried again several times.
TKT-10049,CUS-000693,2026-07-26 23:18:18,2026-07-28 14:47:06,WhatsApp,Billing/Refunds,Duplicate Charge,Free,24,39.48,3,Resolved,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10050,CUS-000469,2026-07-28 19:29:40,2026-07-29 19:44:40,In-App Chat,Billing/Refunds,Payment Failed,Enterprise,3,24.25,2,Closed,My payment keeps failing even though my details are correct.
TKT-10051,CUS-000434,2026-07-17 20:59:44,2026-07-20 18:53:44,WhatsApp,Billing/Refunds,Incorrect Amount,Premium,7,69.9,,Escalated,The amount on my bill does not match what I expected.
TKT-10052,CUS-000850,2026-06-27 02:03:36,2026-06-28 02:43:48,Social Media,Billing/Refunds,Refund Pending,Free,79,24.67,3,Resolved,My refund is still pending and I need an update. This has been very frustrating.
TKT-10053,CUS-000760,2026-07-06 19:09:16,2026-07-07 17:34:28,Email,Billing/Refunds,Incorrect Amount,Premium,46,22.42,2,Closed,The amount on my bill does not match what I expected. This is disrupting what I need to do.
TKT-10054,CUS-001445,2026-07-22 22:39:33,2026-07-23 18:49:09,Email,Feature Request,New Payment Option,Premium,14,20.16,4,Resolved,It would be helpful to have another payment option. Everything else is working well for me.
TKT-10055,CUS-001077,2026-08-03 14:48:58,2026-08-04 14:53:46,WhatsApp,Billing/Refunds,Duplicate Charge,Free,34,24.08,3,Escalated,I was charged twice for the same transaction.
TKT-10056,CUS-000676,2026-06-09 17:12:45,,WhatsApp,Billing/Refunds,Refund Pending,Premium,6,,,Open,My refund is still pending and I need an update.
TKT-10057,CUS-000652,2026-06-02 20:04:06,2026-06-04 14:04:06,Social Media,Delivery Delay,Tracking Not Updated,Free,99,42.0,,Escalated,The tracking status has not changed for a while. Please resolve this as soon as possible.
TKT-10058,CUS-000903,2026-06-13 13:06:39,2026-06-13 16:09:03,WhatsApp,Account Access,Account Locked,Free,91,3.04,,Resolved,My account is locked and I cannot get back in. Thank you for checking this for me.
TKT-10059,CUS-000434,2026-06-01 02:23:22,2026-06-01 17:01:46,Email,Delivery Delay,Tracking Not Updated,Free,72,14.64,3,Closed,The tracking status has not changed for a while.
TKT-10060,CUS-000703,2026-08-07 18:34:19,,WhatsApp,Account Access,Password Reset,Free,20,,3,Open,I need help resetting my password. Please let me know what information you need.
TKT-10061,CUS-000492,2026-06-24 00:26:38,2026-06-24 12:32:02,WhatsApp,Feature Request,Export Data,Enterprise,4,12.09,4,Closed,Could you add a way to export my account data?
TKT-10062,CUS-000851,2026-05-30 08:04:12,2026-05-31 01:16:12,In-App Chat,Account Access,Account Locked,Free,17,17.2,,Closed,My account is locked and I cannot get back in. Please let me know what information you need.
TKT-10063,CUS-000903,2026-06-24 14:49:38,2026-06-25 05:29:50,In-App Chat,Account Access,Account Locked,Free,22,14.67,,Resolved,My account is locked and I cannot get back in.
TKT-10064,CUS-001426,2026-06-22 07:42:33,2026-06-23 06:17:20,Email,Delivery Delay,Wrong Delivery Address,Free,174,22.58,,Escalated,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10065,CUS-000432,2026-06-05 15:38:17,2026-06-07 11:04:41,WhatsApp,App Bug,Notification Error,Free,61,43.44,2,Resolved,The notifications are delayed or showing the wrong information. Please resolve this as soon as possible.
TKT-10066,CUS-001519,2026-06-20 18:54:56,2026-06-23 00:09:56,In-App Chat,App Bug,Page Not Loading,Free,42,53.25,,Resolved,The page is stuck loading and I cannot continue. This is disrupting what I need to do.
TKT-10067,CUS-000881,2026-06-05 18:22:17,,Social Media,App Bug,Login Timeout,Premium,22,,2,Open,I keep getting timed out when I try to sign in. This has been very frustrating.
TKT-10068,CUS-001221,2026-05-29 23:47:38,,In-App Chat,Billing/Refunds,Refund Pending,Free,11,,1,Open,My refund is still pending and I need an update.
TKT-10069,CUS-001024,2026-07-23 08:26:04,,In-App Chat,Delivery Delay,Late Delivery,Free,14,,3,Open,My order is later than the delivery estimate. Please resolve this as soon as possible.
TKT-10070,CUS-001396,2026-06-26 22:12:59,2026-06-27 14:14:47,Email,Billing/Refunds,Duplicate Charge,Free,77,16.03,3,Resolved,I was charged twice for the same transaction. Please resolve this as soon as possible.
TKT-10071,CUS-001124,2026-07-06 19:14:02,2026-07-09 10:06:50,In-App Chat,Billing/Refunds,Payment Failed,Free,11,62.88,2,Resolved,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10072,CUS-000019,2026-07-15 23:59:24,2026-07-16 19:52:12,WhatsApp,Billing/Refunds,Refund Pending,Premium,19,19.88,,Resolved,My refund is still pending and I need an update. This has been very frustrating.
TKT-10073,CUS-000659,2026-06-09 22:26:18,2026-06-13 03:07:42,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,38,76.69,3,Resolved,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10074,CUS-001581,2026-08-06 02:16:14,2026-08-07 21:51:38,WhatsApp,App Bug,Page Not Loading,Free,47,43.59,1,Escalated,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10075,CUS-000757,2026-07-08 23:25:46,2026-07-09 22:13:10,In-App Chat,Account Access,Password Reset,Premium,14,22.79,,Closed,I need help resetting my password. Please let me know what information you need.
TKT-10076,CUS-001394,2026-06-24 09:04:49,2026-06-24 21:15:37,WhatsApp,Delivery Delay,Missing Items,Premium,5,12.18,3,Resolved,Some items were missing when my order arrived. This is disrupting what I need to do.
TKT-10077,CUS-001457,2026-07-22 16:08:04,2026-07-24 06:42:15,Email,Billing/Refunds,Refund Pending,Premium,78,38.57,,Resolved,My refund is still pending and I need an update. Please resolve this as soon as possible.
TKT-10078,CUS-000576,2026-07-03 20:40:40,2026-07-04 14:28:40,In-App Chat,Delivery Delay,Missing Items,Free,9,17.8,,Resolved,Some items were missing when my order arrived. This is disrupting what I need to do.
TKT-10079,CUS-001440,2026-06-19 16:48:27,2026-06-23 18:39:27,In-App Chat,App Bug,Notification Error,Free,21,97.85,2,Escalated,The notifications are delayed or showing the wrong information. This has been very frustrating.
TKT-10080,CUS-000637,2026-06-25 21:46:47,2026-06-27 14:04:10,In-App Chat,Billing/Refunds,Incorrect Amount,Premium,15,40.29,2,Closed,The amount on my bill does not match what I expected. Please resolve this as soon as possible.
TKT-10081,CUS-000055,2026-07-29 16:29:23,2026-07-29 22:55:11,Email,Account Access,Profile Update Failed,Free,93,6.43,,Resolved,I cannot save the changes to my profile. Thank you for checking this for me.
TKT-10082,CUS-001160,2026-07-22 04:22:40,2026-07-22 22:23:16,WhatsApp,Feature Request,Export Data,Premium,7,18.01,4,Resolved,Could you add a way to export my account data?
TKT-10083,CUS-001379,2026-06-11 09:06:38,2026-06-12 15:01:14,Email,App Bug,Page Not Loading,Free,38,29.91,,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10084,CUS-000757,2026-08-09 04:32:07,2026-08-09 12:53:43,Email,Account Access,Account Locked,Premium,41,8.36,5,Resolved,My account is locked and I cannot get back in. Please let me know what information you need.
TKT-10085,CUS-000322,2026-07-12 07:16:57,,Email,App Bug,Login Timeout,Free,102,,,Open,I keep getting timed out when I try to sign in.
TKT-10086,CUS-001032,2026-08-08 01:44:35,2026-08-08 10:57:11,Email,Account Access,Verification Code Missing,Free,37,9.21,,Closed,The verification code has not arrived yet. Please let me know what information you need.
TKT-10087,CUS-001242,2026-07-11 21:24:27,2026-07-12 16:31:03,Social Media,Account Access,Profile Update Failed,Free,55,19.11,4,Resolved,I cannot save the changes to my profile. I would appreciate an update when possible.
TKT-10088,CUS-001106,2026-07-23 20:10:39,2026-07-24 12:56:15,Email,Account Access,Profile Update Failed,Free,29,16.76,4,Closed,I cannot save the changes to my profile. I would appreciate an update when possible.
TKT-10089,CUS-000607,2026-07-11 14:07:36,2026-07-12 02:44:48,Social Media,Account Access,Verification Code Missing,Premium,29,12.62,4,Resolved,The verification code has not arrived yet.
TKT-10090,CUS-000620,2026-06-01 11:27:56,2026-06-02 16:49:32,WhatsApp,Billing/Refunds,Duplicate Charge,Free,19,29.36,,Resolved,I was charged twice for the same transaction. I have already tried again several times.
TKT-10091,CUS-000907,2026-06-07 05:11:03,2026-06-08 10:47:39,In-App Chat,Account Access,Account Locked,Free,24,29.61,,Closed,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10092,CUS-000348,2026-07-24 21:05:05,2026-07-25 06:00:17,In-App Chat,Account Access,Profile Update Failed,Premium,10,8.92,3,Resolved,I cannot save the changes to my profile. Thank you for checking this for me.
TKT-10093,CUS-001425,2026-08-01 21:20:48,2026-08-02 02:29:12,In-App Chat,Account Access,Password Reset,Premium,22,5.14,,Resolved,I need help resetting my password. Could someone advise me on the next step?
TKT-10094,CUS-000184,2026-06-16 04:54:17,2026-06-21 07:29:04,Email,Billing/Refunds,Payment Failed,Free,86,122.58,1,Escalated,My payment keeps failing even though my details are correct. Please resolve this as soon as possible.
TKT-10095,CUS-000814,2026-07-06 10:48:59,,In-App Chat,App Bug,App Crash,Enterprise,3,,,Open,The app closes every time I try to complete this action. This has been very frustrating.
TKT-10096,CUS-001441,2026-06-01 14:06:02,2026-06-03 16:22:50,WhatsApp,App Bug,Login Timeout,Free,42,50.28,,Resolved,I keep getting timed out when I try to sign in. This has been very frustrating.
TKT-10097,CUS-000874,2026-08-04 18:40:12,2026-08-05 17:14:59,Email,Billing/Refunds,Duplicate Charge,Premium,129,22.58,,Closed,I was charged twice for the same transaction.
TKT-10098,CUS-001285,2026-08-01 07:18:01,2026-08-02 16:49:13,Email,Billing/Refunds,Incorrect Amount,Free,118,33.52,,Resolved,The amount on my bill does not match what I expected. Please resolve this as soon as possible.
TKT-10099,CUS-000419,2026-08-01 04:44:45,2026-08-05 04:14:09,WhatsApp,App Bug,App Crash,Free,32,95.49,2,Closed,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10100,CUS-000751,2026-05-27 23:16:21,2026-05-29 03:07:57,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,14,27.86,2,Resolved,The delivery address shown for my order is incorrect.
TKT-10101,CUS-001198,2026-07-31 22:42:19,2026-08-01 13:26:07,WhatsApp,Billing/Refunds,Incorrect Amount,Free,23,14.73,3,Closed,The amount on my bill does not match what I expected. I have already tried again several times.
TKT-10102,CUS-001490,2026-05-24 05:19:47,2026-05-24 19:59:59,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,35,14.67,,Resolved,The delivery address shown for my order is incorrect. Please resolve this as soon as possible.
TKT-10103,CUS-001082,2026-07-11 02:47:18,,Email,Account Access,Verification Code Missing,Free,43,,3,Open,The verification code has not arrived yet.
TKT-10104,CUS-000419,2026-06-18 18:29:33,2026-06-19 23:51:45,WhatsApp,Delivery Delay,Late Delivery,Premium,15,29.37,2,Escalated,My order is later than the delivery estimate. Please resolve this as soon as possible.
TKT-10105,CUS-000263,2026-07-19 07:03:30,2026-07-19 17:19:06,Social Media,App Bug,App Crash,Free,105,10.26,,Resolved,The app closes every time I try to complete this action. This is disrupting what I need to do.
TKT-10106,CUS-001418,2026-06-10 03:46:22,2026-06-15 11:11:34,WhatsApp,App Bug,Page Not Loading,Free,37,127.42,,Closed,The page is stuck loading and I cannot continue.
TKT-10107,CUS-000916,2026-07-25 21:17:01,2026-07-26 01:02:01,Email,Account Access,Verification Code Missing,Enterprise,6,3.75,,Resolved,The verification code has not arrived yet. Thank you for checking this for me.
TKT-10108,CUS-000339,2026-06-30 19:32:22,2026-07-01 04:11:58,WhatsApp,Feature Request,Dark Mode,Premium,59,8.66,,Closed,I like the app and would find a dark mode option useful. Thanks for considering the suggestion.
TKT-10109,CUS-000813,2026-07-27 20:52:14,2026-07-28 04:33:02,Email,App Bug,Page Not Loading,Enterprise,37,7.68,3,Resolved,The page is stuck loading and I cannot continue. This has been very frustrating.
TKT-10110,CUS-000231,2026-07-15 05:02:16,2026-07-15 20:13:04,Email,Account Access,Profile Update Failed,Free,102,15.18,,Resolved,I cannot save the changes to my profile. Please let me know what information you need.
TKT-10111,CUS-000189,2026-07-01 05:29:16,2026-07-01 16:07:04,In-App Chat,Account Access,Account Locked,Free,51,10.63,3,Closed,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10112,CUS-001539,2026-05-29 20:46:54,2026-05-30 14:00:42,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,20,17.23,3,Resolved,The delivery address shown for my order is incorrect. This has been very frustrating.
TKT-10113,CUS-000898,2026-07-07 19:48:52,2026-07-08 19:45:52,Email,Billing/Refunds,Payment Failed,Free,117,23.95,3,Resolved,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10114,CUS-000427,2026-06-22 08:04:41,2026-06-22 20:59:17,In-App Chat,Account Access,Verification Code Missing,Free,18,12.91,,Resolved,The verification code has not arrived yet. I would appreciate an update when possible.
TKT-10115,CUS-001483,2026-06-20 02:27:47,2026-06-21 00:09:47,Social Media,App Bug,Login Timeout,Premium,9,21.7,2,Resolved,I keep getting timed out when I try to sign in.
TKT-10116,CUS-001648,2026-07-23 05:17:53,2026-07-23 09:38:53,WhatsApp,Feature Request,Dark Mode,Free,168,4.35,4,Resolved,I like the app and would find a dark mode option useful. I would be happy to use this feature.
TKT-10117,CUS-001486,2026-06-24 19:58:40,2026-06-25 12:30:28,WhatsApp,App Bug,Page Not Loading,Premium,6,16.53,3,Closed,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10118,CUS-001258,2026-06-28 14:43:50,2026-06-29 10:15:38,In-App Chat,App Bug,Login Timeout,Free,28,19.53,,Closed,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10119,CUS-001621,2026-06-08 22:24:15,2026-06-09 14:33:51,WhatsApp,Feature Request,Export Data,Free,40,16.16,,Resolved,Could you add a way to export my account data? Thanks for considering the suggestion.
TKT-10120,CUS-000353,2026-07-20 18:08:10,2026-07-23 05:59:10,In-App Chat,App Bug,Page Not Loading,Free,32,59.85,1,Resolved,The page is stuck loading and I cannot continue. I have already tried again several times.
TKT-10121,CUS-001473,2026-07-13 10:28:48,2026-07-15 17:36:36,Email,Billing/Refunds,Duplicate Charge,Enterprise,12,55.13,,Closed,I was charged twice for the same transaction. This has been very frustrating.
TKT-10122,CUS-000609,2026-06-04 15:43:53,2026-06-05 05:10:53,WhatsApp,Billing/Refunds,Payment Failed,Free,32,13.45,,Closed,My payment keeps failing even though my details are correct. Please resolve this as soon as possible.
TKT-10123,CUS-000064,2026-05-28 09:26:17,2026-06-01 20:24:29,In-App Chat,Billing/Refunds,Refund Pending,Free,25,106.97,1,Escalated,My refund is still pending and I need an update. I have already tried again several times.
TKT-10124,CUS-000064,2026-07-28 16:52:55,2026-07-29 12:48:43,In-App Chat,Billing/Refunds,Incorrect Amount,Free,31,19.93,3,Resolved,The amount on my bill does not match what I expected. This has been very frustrating.
TKT-10125,CUS-000343,2026-06-25 10:28:35,2026-07-01 22:42:23,In-App Chat,App Bug,App Crash,Premium,11,156.23,1,Resolved,The app closes every time I try to complete this action. I have already tried again several times.
TKT-10126,CUS-001313,2026-05-21 08:48:24,2026-05-22 23:48:24,Email,Delivery Delay,Late Delivery,Enterprise,12,39.0,,Closed,My order is later than the delivery estimate.
TKT-10127,CUS-001509,2026-05-28 19:19:53,2026-05-30 17:53:29,WhatsApp,Delivery Delay,Tracking Not Updated,Premium,7,46.56,,Resolved,The tracking status has not changed for a while. Please resolve this as soon as possible.
TKT-10128,CUS-000234,2026-06-21 22:55:50,2026-06-23 12:10:50,In-App Chat,Billing/Refunds,Refund Pending,Premium,37,37.25,,Resolved,My refund is still pending and I need an update.
TKT-10129,CUS-001423,2026-07-07 15:53:14,2026-07-07 23:40:02,In-App Chat,Account Access,Account Locked,Enterprise,5,7.78,5,Resolved,My account is locked and I cannot get back in. Could someone advise me on the next step?
TKT-10130,CUS-001276,2026-06-30 23:00:20,2026-07-02 23:33:20,Email,Billing/Refunds,Payment Failed,Premium,39,48.55,3,Escalated,My payment keeps failing even though my details are correct. This is disrupting what I need to do.
TKT-10131,CUS-000100,2026-08-10 20:10:21,2026-08-11 05:54:09,In-App Chat,Feature Request,Export Data,Free,16,9.73,4,Resolved,Could you add a way to export my account data?
TKT-10132,CUS-001226,2026-07-28 17:05:37,2026-07-29 14:55:25,Social Media,Billing/Refunds,Payment Failed,Free,23,21.83,2,Closed,My payment keeps failing even though my details are correct. I have already tried again several times.
TKT-10133,CUS-000070,2026-06-03 15:53:03,2026-06-04 07:54:15,WhatsApp,Account Access,Password Reset,Free,57,16.02,2,Closed,I need help resetting my password.
TKT-10134,CUS-000451,2026-07-20 17:21:10,2026-07-24 07:37:22,Social Media,App Bug,Notification Error,Free,39,86.27,,Resolved,The notifications are delayed or showing the wrong information. This has been very frustrating.
TKT-10135,CUS-000877,2026-07-11 22:43:00,2026-07-12 18:17:47,WhatsApp,Account Access,Password Reset,Free,49,19.58,3,Escalated,I need help resetting my password.
TKT-10136,CUS-001523,2026-07-21 19:45:02,2026-07-22 23:44:26,Email,App Bug,Login Timeout,Free,32,27.99,3,Closed,I keep getting timed out when I try to sign in. Please resolve this as soon as possible.
TKT-10137,CUS-000190,2026-08-02 02:49:10,2026-08-02 08:52:46,WhatsApp,Delivery Delay,Missing Items,Enterprise,15,6.06,3,Resolved,Some items were missing when my order arrived. This is disrupting what I need to do.
TKT-10138,CUS-000597,2026-07-29 06:47:48,2026-07-30 09:56:48,In-App Chat,Billing/Refunds,Incorrect Amount,Enterprise,7,27.15,2,Closed,The amount on my bill does not match what I expected. This is disrupting what I need to do.
TKT-10139,CUS-000962,2026-06-29 13:20:12,2026-06-30 17:26:12,In-App Chat,Feature Request,Export Data,Free,22,28.1,4,Resolved,"Could you add a way to export my account data? The service has been useful overall, so this would be a great addition."
TKT-10140,CUS-001247,2026-06-23 23:25:47,2026-06-26 11:38:23,Email,App Bug,Page Not Loading,Premium,46,60.21,1,Resolved,The page is stuck loading and I cannot continue. Please resolve this as soon as possible.
TKT-10141,CUS-001531,2026-07-29 15:24:28,2026-08-01 00:42:28,In-App Chat,Delivery Delay,Wrong Delivery Address,Free,36,57.3,,Closed,The delivery address shown for my order is incorrect. This is disrupting what I need to do.
TKT-10142,CUS-000780,2026-06-28 01:49:07,2026-06-29 10:35:55,WhatsApp,Delivery Delay,Missing Items,Free,15,32.78,3,Closed,Some items were missing when my order arrived. This has been very frustrating.
