category,subcategory,channel,total_tickets,resolved_tickets,escalation_rate_pct,avg_first_response_mins,avg_resolution_hours,avg_csat_score,survey_response_rate_pct,sla_compliance_rate_pct
Billing/Refunds,Refund Pending,Email,42,36,4.76,89.86,33.76,2.37,71.43,26.19
Account Access,Profile Update Failed,Email,35,26,8.57,74.46,11.49,3.86,62.86,31.43
Account Access,Password Reset,Social Media,16,14,12.50,36.13,9.22,4.20,62.50,75.00
Feature Request,Notification Controls,In-App Chat,34,28,11.76,21.26,18.36,4.13,70.59,94.12
Delivery Delay,Late Delivery,Social Media,14,11,21.43,48.64,36.35,3.25,85.71,78.57
App Bug,Notification Error,In-App Chat,63,50,11.11,25.24,45.82,2.15,76.19,92.06
Billing/Refunds,Payment Failed,Social Media,20,15,10.00,43.30,36.24,2.29,70.00,55.00
Feature Request,Dark Mode,Email,21,18,9.52,48.57,18.32,4.23,61.90,52.38
Billing/Refunds,Incorrect Amount,WhatsApp,44,37,9.09,26.77,35.57,2.50,68.18,90.91
App Bug,Page Not Loading,Email,54,44,5.56,80.39,48.30,2.08,70.37,35.19
Account Access,Verification Code Missing,Email,29,24,10.34,58.93,11.05,3.64,75.86,44.83
Feature Request,Export Data,In-App Chat,29,27,0.00,19.31,18.99,4.05,65.52,100.00
Feature Request,Notification Controls,WhatsApp,10,8,10.00,32.70,13.25,4.00,80.00,90.00
Feature Request,Dark Mode,In-App Chat,28,25,0.00,14.82,14.46,4.06,57.14,100.00
App Bug,Login Timeout,Social Media,17,11,11.76,37.41,53.98,1.93,82.35,58.82
Billing/Refunds,Duplicate Charge,WhatsApp,45,39,8.89,36.58,36.06,2.46,57.78,84.44
Billing/Refunds,Refund Pending,WhatsApp,39,34,5.13,36.13,34.38,2.64,71.79,79.49
Account Access,Verification Code Missing,In-App Chat,52,45,9.62,19.12,10.96,3.59,61.54,86.54
App Bug,Page Not Loading,In-App Chat,62,41,16.13,25.35,54.52,2.27,59.68,90.32
Delivery Delay,Missing Items,WhatsApp,18,13,11.11,21.33,22.47,2.93,77.78,94.44
App Bug,App Crash,Social Media,20,17,10.00,31.65,43.51,2.13,40.00,65.00
Feature Request,Export Data,Email,20,12,15.00,82.70,19.64,3.93,75.00,30.00
App Bug,Notification Error,Email,48,37,12.50,63.75,42.11,2.21,68.75,45.83
Account Access,Profile Update Failed,WhatsApp,16,8,25.00,29.56,14.10,3.50,75.00,75.00
Feature Request,New Payment Option,WhatsApp,10,7,10.00,35.70,19.83,3.89,90.00,70.00
Account Access,Account Locked,Social Media,14,13,0.00,34.93,13.62,3.50,71.43,85.71
Account Access,Account Locked,WhatsApp,27,22,7.41,34.63,15.26,3.43,77.78,85.19
Delivery Delay,Wrong Delivery Address,In-App Chat,43,37,6.98,21.02,31.71,2.93,65.12,97.67
Billing/Refunds,Refund Pending,Social Media,25,23,4.00,53.32,45.71,2.26,76.00,60.00
Delivery Delay,Tracking Not Updated,Email,28,23,7.14,66.96,26.43,2.86,75.00,39.29
App Bug,App Crash,WhatsApp,30,26,6.67,29.77,55.04,2.26,63.33,83.33
Account Access,Profile Update Failed,Social Media,18,14,5.56,41.89,8.97,3.79,77.78,77.78
App Bug,Login Timeout,WhatsApp,32,26,12.50,27.16,48.72,2.31,81.25,100.00
Billing/Refunds,Duplicate Charge,Social Media,20,15,10.00,36.50,32.88,2.57,70.00,75.00
Account Access,Password Reset,Email,30,24,13.33,72.50,11.74,3.80,66.67,30.00
Delivery Delay,Missing Items,Social Media,10,10,0.00,30.70,28.47,2.60,50.00,90.00
Feature Request,New Payment Option,Social Media,4,3,0.00,48.50,8.72,4.25,100.00,75.00
